Company,URL of Job Description,Role,Country,Date of Application,Running Time,Stage,Notes
Harnham,https://www.linkedin.com/jobs/view/4408783978/,BI Developer,Netherlands,5/26/2026,18,Declined,
Harnham,https://www.linkedin.com/jobs/view/4409021478/,Dashboard Engineer,Netherlands,5/26/2026,18,Declined,
Strapple,https://www.linkedin.com/jobs/view/4416228441/,Power BI Specialist,Netherlands,5/26/2026,18,Declined,
CareerValue,https://www.linkedin.com/jobs/view/4408413143/,BI Specialist,Netherlands,5/26/2026,18,Declined,
Venturi,https://www.linkedin.com/jobs/view/4414150098/,Senior BI Engineer,UK,5/26/2026,18,Declined,
Reveal Media,https://www.linkedin.com/jobs/view/4408417415/,Senior Data Analyst,UK,5/26/2026,18,Declined,
Sandvik,https://www.linkedin.com/jobs/view/4413306529/,Senior BI Developer,Netherlands,5/26/2026,18,Declined,
Hays,https://www.linkedin.com/jobs/view/4414086963/,BI / Data Engineer,Spain,5/24/2026,20,Declined,
Volkswagen,https://www.linkedin.com/jobs/view/4417853769/,Business Data Analyst,Spain,5/26/2026,18,Declined,
Akkodis,https://www.linkedin.com/jobs/view/4408182569/,BI Specialist,Netherlands,5/26/2026,18,Declined,
N-SEA Group,https://www.linkedin.com/jobs/view/4408421352/,Senior BI and AI Specialist,Netherlands,5/26/2026,18,Declined,
HCL,https://www.linkedin.com/jobs/view/4400854153/,Power BI Lead,Netherlands,5/25/2026,19,Declined,
Solirius,https://www.linkedin.com/jobs/view/4418094256/,Data Analyst,UK,5/25/2026,19,Application Sent,
Provollar Executive Search,https://www.linkedin.com/jobs/view/4417324074/,Senior BI,UK,5/25/2026,19,Declined,
Fynity,https://www.linkedin.com/jobs/view/4409019472/,Principal Data Engineer Consultant,UK,5/30/2026,14,Declined,
Corecom Consulting,https://www.linkedin.com/jobs/view/4407210602/,Analytics Team Lead,UK,5/30/2026,14,Declined,
Visser and Vann Baars,https://www.linkedin.com/jobs/view/4413535511/,Data and Analytics Engineer Azure,Belgium,5/30/2026,14,Application Sent,
Brayton Global,https://www.linkedin.com/jobs/view/4411433718/?trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4411433718&refId=9%2Fc%2Bcn5vS3erGCxJez5iLg%3D%3D&trackingId=3HPET5ufRv%2Bzy0dqrj8eZg%3D%3D,BI Expert,Belgium,5/30/2026,14,Declined,
Investigo,https://www.linkedin.com/jobs/view/4416087985/?trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4416087985&refId=PoAzAlWnQlmqSCLCxyAAVg%3D%3D&trackingId=XAKOyR77QlSQ2nyW5vQ5cw%3D%3D,Data Architect Snowflake,UK,5/30/2026,14,Declined,
Minsait,https://www.linkedin.com/jobs/view/4408401490/?trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4408401490&refId=m1BVIQdVSYmbo9ivjCQM%2FA%3D%3D&trackingId=GhlL6ezaRCir4g%2FQZpg77A%3D%3D,BI Consultant,Spain,5/30/2026,14,Application Sent,
Indra Group,https://www.linkedin.com/jobs/view/4384780942/?trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4384780942&refId=%2Bd3RoGHZTXaScoigg4J%2F2A%3D%3D&trackingId=yA5dhhbaTPOEbfjGKXGIYg%3D%3D,Data Analyst,Spain,5/30/2026,14,Declined,
Astek,https://www.linkedin.com/jobs/view/4415211231/,BI Developer,Spain,5/30/2026,14,Declined,
K-Lagan,https://www.linkedin.com/jobs/view/4406008621/,Data Analyst Power BI,Spain,5/30/2026,14,Declined,
Ricoh,https://www.linkedin.com/jobs/view/4417313150/,Data Analyst,Spain,5/30/2026,14,Application Sent,
Indra,https://www.linkedin.com/jobs/view/4416801597/,Fabric power bi,Spain,5/30/2026,14,Declined,
Beckman Coultour,https://www.linkedin.com/jobs/view/4406479405/,Senior BI,Spain,5/30/2026,14,Application Sent,
Assystem,https://www.linkedin.com/jobs/view/4415799786/,Consultant powerbi,France,5/30/2026,14,Application Sent,
Whize,https://www.linkedin.com/jobs/view/4415098215/,Power BI snowflake consultant,France,5/30/2026,14,Application Sent,
Serviclient,https://www.linkedin.com/jobs/view/4419815939/,Power bi dev,Spain,5/30/2026,14,Application Sent,
Hays,https://www.linkedin.com/jobs/view/4416825739/,Power bi consultant,Spain,5/30/2026,14,Declined,
TSD consulting,https://www.linkedin.com/jobs/view/4420263769/,Power bi consultant,Spain,5/30/2026,14,Declined,
Alten,https://www.linkedin.com/jobs/view/4405129071/,Data Analyst,Spain,5/30/2026,14,Declined,
Ayesa Digital,https://www.linkedin.com/jobs/view/4406442800/,Data Analyst,Spain,5/30/2026,14,Declined,
Nexthink,https://www.linkedin.com/jobs/view/4389778358/,AI Architect,Spain,5/30/2026,14,Application Sent,
Jobgethet,https://www.linkedin.com/jobs/view/4419062643/,Not Specified,France,5/30/2026,14,Application Sent,
Cleven,https://www.linkedin.com/jobs/view/4408759398/,Not Specified,Switzerland,5/30/2026,14,Application Sent,
Tata consultancy,https://www.linkedin.com/jobs/view/4418805076/,Not Specified,Switzerland,5/30/2026,14,Declined,
Sopra,https://www.linkedin.com/jobs/view/4415288210/,Senior Snowflake Consultant,Spain,5/30/2026,14,Declined,
Avanade,https://www.linkedin.com/jobs/view/4418189589/,Not Specified,Spain,5/30/2026,14,Declined,
Ecolab,https://www.linkedin.com/jobs/view/4416775723/,Not Specified,Spain,5/30/2026,14,Declined,
Bitec,https://www.linkedin.com/jobs/view/4420941076/,Not Specified,Spain,5/30/2026,14,Declined,
The infromation lab italia,https://www.linkedin.com/jobs/view/4417613775/,Senior Consultant,Spain,5/30/2026,14,Application Sent,
Ebury,https://www.linkedin.com/jobs/view/4420984415/,Senior Data Analyst,Spain,5/30/2026,14,Declined,
